,change in diversity_index,2019 diversity_index,neighborhood,change in poverty_prop,2019 poverty_prop,change in white_prop,2019 white_prop,change in median_household_inc,2019 median_household_inc,change in singleunitbuilding_price,2019 singleunitbuilding_price,change in asian_prop,2019 asian_prop,change in black_prop,2019 black_prop,change in hispanic_prop,2019 hispanic_prop
0,4.0000000000000036,0.52,crotona,-7.356321839080454,0.403,-21.951219512195124,0.032,-0.6808169803764518,24800.0,30.260544802442425,439460,-14.285714285714285,0.006,19.5364238410596,0.361,-7.389937106918246,0.589
0,16.071428571428566,0.65,crown heights,-38.61003861003861,0.159,62.10526315789473,0.308,67.07968382824183,78210.0,272.1672608788043,1576240,-3.030303030303033,0.032,-20.77922077922078,0.488,2.9197080291970625,0.141
0,5.000000000000004,0.63,dyker heights,-7.189542483660137,0.142,-5.633802816901395,0.536,37.06984667802385,80460.0,30.55235100974886,1029810,-4.8387096774193585,0.236,162.5,0.021,27.142857142857125,0.178
0,30.0,0.26,east flatbush,-35.71428571428571,0.099,127.2727272727273,0.025,21.700266260935717,63990.0,47.713337049514074,609480,187.5,0.023,-3.8116591928251156,0.858,1.3333333333333346,0.076
0,0.0,0.66,east harlem,10.389610389610398,0.34,5.263157894736847,0.14,-8.194070080862534,34060.0,1242.114370468029,1628790,-25.714285714285722,0.052,11.838006230529588,0.359,-6.926406926406932,0.43
0,1.7857142857142672,0.57,east new york,-35.27777777777777,0.233,-10.63829787234042,0.042,26.15505090054816,48330.0,44.26679632754627,504400,37.93103448275862,0.04,1.2797074954296173,0.554,-5.420054200542011,0.349
0,4.0000000000000036,0.52,east tremont,-7.356321839080454,0.403,-21.951219512195124,0.032,-0.6808169803764518,24800.0,14.893197872400304,408250,-14.285714285714285,0.006,19.5364238410596,0.361,-7.389937106918246,0.589
0,-9.375000000000009,0.58,elmhurst,-46.87500000000001,0.102,-34.567901234567906,0.053,40.8102175214528,70560.0,35.24610748367654,861680,0.0,0.353,-43.07692307692308,0.037,12.631578947368432,0.535
0,-4.545454545454549,0.63,fieldston,-10.810810810810805,0.165,-17.24137931034483,0.312,5.977276469619628,64360.0,21.720412748382238,904760,-15.384615384615385,0.044,-31.578947368421055,0.091,21.276595744680858,0.513
0,13.636363636363635,0.5,financial district,-38.38383838383839,0.061,-6.557377049180318,0.684,37.440490599532,170330.0,-66.53335623802089,5201610,-5.479452054794507,0.138,41.66666666666667,0.034,103.57142857142858,0.114
0,2.9411764705882213,0.7,flatbush,-46.42857142857143,0.12,-5.23809523809523,0.398,31.872967285249665,68930.0,24.40203478471055,1132270,17.28395061728395,0.095,-3.7249283667621653,0.336,8.661417322834653,0.138
0,0.0,0.55,flatlands,-7.0175438596491295,0.106,-14.056224899598396,0.214,18.447961899425692,84560.0,25.89317021856859,646260,45.94594594594595,0.054,1.2965964343598066,0.625,10.975609756097553,0.091
0,-6.250000000000005,0.6,flushing,3.4965034965035002,0.148,-19.0,0.243,-8.698402656966628,57730.0,32.087988826815646,945750,12.350597609561742,0.564,-14.999999999999996,0.017,4.0000000000000036,0.156
0,6.779661016949159,0.63,forest hills,14.432989690721648,0.111,-9.94671403197157,0.507,40.02391271857719,93690.0,24.922102786780624,998290,11.940298507462675,0.3,66.66666666666666,0.02,2.142857142857125,0.143
0,-5.714285714285704,0.66,fort greene,-23.75690607734806,0.138,22.014051522248252,0.521,34.550045913682276,117220.0,27.9953640648588,3467740,71.2121212121212,0.113,-32.33333333333333,0.203,-26.347305389221564,0.123
0,2.7027027027027053,0.76,fresh meadows,-16.058394160583944,0.115,-17.378048780487802,0.271,13.128449947784574,75830.0,36.881074987050184,898460,3.0000000000000027,0.309,23.809523809523807,0.156,2.926829268292686,0.211
0,10.344827586206906,0.32,great kills,-41.42857142857143,0.041,-1.9184652278177476,0.818,14.527845036319611,113520.0,14.696743234738829,583210,81.8181818181818,0.06,-38.46153846153846,0.008,-3.603603603603607,0.107
0,3.703703703703707,0.56,greenpoint,-24.150943396226417,0.201,0.9884678747940702,0.613,103.22707595434868,103280.0,101.44842863750334,1655060,26.923076923076934,0.066,73.07692307692308,0.045,-16.666666666666664,0.25
0,13.636363636363635,0.5,greenwich village,-38.38383838383839,0.061,-6.557377049180318,0.684,37.440490599532,170330.0,33.41188647237561,11033710,-5.479452054794507,0.138,41.66666666666667,0.034,103.57142857142858,0.114
0,-1.4084507042253533,0.7,hamilton,-31.70731707317072,0.196,29.8181818181818,0.357,58.85474242759231,71850.0,107.45740831027213,3021140,20.27027027027027,0.089,-24.378109452736325,0.152,-8.866995073891633,0.37
0,6.122448979591842,0.52,highbridge,-7.428571428571419,0.324,660.0,0.038,5.456226880394575,34210.0,3.814287350616624,543800,-23.52941176470589,0.013,-0.3048780487804881,0.327,-4.702194357366776,0.608
0,2.7027027027027053,0.76,hillcrest,-16.058394160583944,0.115,-17.378048780487802,0.271,13.128449947784574,75830.0,36.881074987050184,898460,3.0000000000000027,0.309,23.809523809523807,0.156,2.926829268292686,0.211
0,9.09090909090908,0.6,hollis,-43.61702127659575,0.106,43.74999999999999,0.023,14.387417218543048,69090.0,54.3864283408177,526010,54.34782608695651,0.142,-6.2400000000000055,0.586,-15.887850467289722,0.18
0,-4.8192771084337265,0.79,howard beach,-35.344827586206904,0.075,-6.2992125984252025,0.238,29.57705253914825,88540.0,43.491465567981166,609480,40.425531914893625,0.264,13.846153846153836,0.148,8.733624454148467,0.249
0,-2.1276595744680753,0.46,hunts point,-3.64963503649634,0.396,29.999999999999993,0.026,4.150197628458498,26350.0,165.13313291818767,493890,-50.0,0.005,-5.1369863013698485,0.277,2.24550898203593,0.683
0,0.0,0.0,inwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,-1.8518518518518534,0.53,jackson heights,-33.03571428571429,0.15,1.9047619047619067,0.107,29.649348265100055,70620.0,55.05816070367744,809140,13.855421686746983,0.189,-35.48387096774193,0.04,0.4643962848297218,0.649
